2017-03-08 12:24: [[1.3], [0.0], [2685]]
2017-03-08 12:24: [[13.9], [0.0], [2685]]
2017-03-08 12:24: [[0.0], [0.0], [2685]]
2017-03-08 12:25: [[9.9], [0.0], [2685]]
2017-03-08 12:25: [[6.2], [0.0], [2685]]
2017-03-08 12:25: [[11.4], [0.0], [2685]]
2017-03-08 12:25: [[1.2], [0.0], [2685]]
2017-03-08 12:26: [[11.1], [0.0], [2685]]
2017-03-08 12:26: [[1.3], [0.0], [2685]]
2017-03-08 12:26: [[13.6], [0.0], [2685]]
2017-03-08 12:26: [[7.2], [0.0], [2685]]
2017-03-08 12:26: [[1.3], [0.0], [2685]]
2017-03-08 12:26: [[5.0], [0.0], [2685]]
2017-03-08 12:26: [[3.8], [0.0], [2685]]
2017-03-08 12:26: [[6.1], [0.0], [2685]]
2017-03-08 12:26: [[1.3], [0.0], [2685]]
2017-03-08 12:26: [[9.9], [0.0], [2685]]
2017-03-08 12:26: [[11.1], [0.0], [2685]]
2017-03-08 12:26: [[0.0], [0.0], [2685]]
2017-03-08 12:26: [[4.9], [0.0], [2685]]
2017-03-08 12:26: [[8.4], [0.0], [2685]]
2017-03-08 12:26: [[17.7], [0.0], [2685]]
2017-03-08 12:26: [[2.5], [0.0], [2685]]
2017-03-09 19:11: [[17.5], [0.0], [2685]]
2017-03-09 19:11: [[2.5], [0.0], [2685]]
2017-03-09 19:11: [[17.3], [0.0], [2685]]
2017-03-09 19:11: [[2.5], [0.0], [2685]]
2017-03-09 21:54: [[15.4], [0.0], [2685]]
2017-03-09 21:54: [[29.6], [0.0], [2685]]
2017-03-09 21:54: [[6.2], [0.0], [2685]]
2017-03-09 21:54: [[15.2], [0.0], [2685]]
2017-03-09 21:54: [[39.7], [0.0], [2685]]
2017-03-09 21:54: [[22.1], [0.0], [2685]]
2017-03-09 21:54: [[3.7], [0.0], [2685]]
2017-03-09 21:54: [[16.7], [0.0], [2685]]
2017-03-09 21:54: [[22.5], [0.0], [2685]]
2017-03-09 21:54: [[15.6], [0.0], [2685]]
2017-03-09 21:54: [[0.0], [0.0], [2685]]
2017-03-09 22:37: [[7.5], [0.0], [2685]]
2017-03-09 22:37: [[3.7], [0.0], [2685]]
2017-03-09 22:37: [[12.5], [0.0], [2685]]
2017-03-09 22:37: [[0.0], [0.0], [2685]]
2017-03-09 22:37: [[2.6], [0.0], [2685]]
2017-03-09 22:37: [[5.1], [0.0], [2685]]
2017-03-09 22:37: [[16.3], [0.0], [2685]]
2017-03-09 22:37: [[1.3], [0.0], [2685]]
2017-03-09 22:37: [[4.9], [0.0], [2685]]
2017-03-09 22:37: [[4.9], [0.0], [2685]]
2017-03-09 22:37: [[24.1], [0.0], [2685]]
2017-03-09 22:37: [[5.1], [0.0], [2685]]
2017-03-09 22:38: [[8.7], [0.0], [2685]]
2017-03-09 22:38: [[2.5], [0.0], [2685]]
2017-03-09 22:38: [[17.7], [0.0], [2685]]
2017-03-09 22:38: [[10.1], [0.0], [2685]]
2017-03-09 22:38: [[6.2], [0.0], [2685]]
2017-03-09 22:38: [[7.5], [0.0], [2685]]
2017-03-09 22:38: [[24.7], [0.0], [2685]]
2017-03-09 22:38: [[6.3], [0.0], [2685]]
2017-03-09 22:38: [[17.3], [0.0], [2685]]
2017-03-09 22:38: [[6.0], [0.0], [2685]]
2017-03-09 22:38: [[16.3], [0.0], [2685]]
2017-03-09 22:38: [[3.8], [0.0], [2685]]
2017-03-09 22:38: [[5.0], [0.0], [2685]]
2017-03-09 22:38: [[6.0], [0.0], [2685]]
2017-03-09 22:38: [[29.1], [0.0], [2685]]
2017-03-09 22:38: [[10.8], [0.0], [2685]]
2017-03-16 11:57: [[1.3], [29.236482], [2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: True
2017-03-16 11:57: [[2.5], [25.27408], [2685]]
2017-03-16 11:57: [[0.0], [33.070908], [2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: True
2017-03-16 11:57: [[1.2], [33.070908], [2685]]
2017-03-16 11:57: [[0.0, 13.8], [33.070908, 28.18452], [2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
2017-03-16 11:57: [[0.0, 13.8, 34.2], [33.070908, 28.18452, 55.10703], [2685, 2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
2017-03-16 11:57: [[0.0, 13.8, 34.2, 7.4], [33.070908, 28.18452, 55.10703, 46.546128], [2685, 2685, 2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
2017-03-16 11:57: [[0.0, 13.8, 34.2, 7.4, 11.4], [33.070908, 28.18452, 55.10703, 46.546128, 32.340249], [2685, 2685, 2685, 2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
2017-03-16 11:57: [[27.5], [30.309952], [2685]]
2017-03-16 11:57: [[2.5], [30.309952], [2685]]
2017-03-16 11:57: [[0.0, 13.8, 34.2, 7.4, 11.4, 14.9], [33.070908, 28.18452, 55.10703, 46.546128, 32.340249, 29.398048], [2685, 2685, 2685, 2685, 2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
2017-03-16 11:57: [[22.8], [29.398048], [2685]]
2017-03-16 11:57: [[0.0, 13.8, 34.2, 7.4, 11.4, 14.9, 5.1], [33.070908, 28.18452, 55.10703, 46.546128, 32.340249, 29.398048, 44.398166], [2685, 2685, 2685, 2685, 2685, 2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
2017-03-16 11:57: [[0.0, 13.8, 34.2, 7.4, 11.4, 14.9, 5.1, 2.5], [33.070908, 28.18452, 55.10703, 46.546128, 32.340249, 29.398048, 44.398166, 30.64971], [2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
2017-03-16 11:57: [[0.0, 13.8, 34.2, 7.4, 11.4, 14.9, 5.1, 2.5, 3.6], [33.070908, 28.18452, 55.10703, 46.546128, 32.340249, 29.398048, 44.398166, 30.64971, 28.683902], [2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685]]
2017-03-16 11:57:  status: Discharging
2017-03-16 11:57:  need train?: False
2017-03-16 11:57: [[5.0], [28.937896999999996], [2685]]
2017-03-16 11:57: [[13.4], [28.937896999999996], [2685]]
